"Step","SAC_short_test_track - loss_actor","SAC_short_test_track - loss_actor__MIN","SAC_short_test_track - loss_actor__MAX"
"349","-2.2794941783","-2.2794941783","-2.2794941783"
"350","-2.2750836039","-2.2750836039","-2.2750836039"
"351","-2.2664740729","-2.2664740729","-2.2664740729"
"352","-2.2626863521","-2.2626863521","-2.2626863521"
"353","-2.2933231652","-2.2933231652","-2.2933231652"
"354","-2.2898271519","-2.2898271519","-2.2898271519"
"355","-2.2638283908","-2.2638283908","-2.2638283908"
"356","-2.2881723541","-2.2881723541","-2.2881723541"
"357","-2.2964543927","-2.2964543927","-2.2964543927"
"358","-2.2811598146","-2.2811598146","-2.2811598146"
"359","-2.2879529214","-2.2879529214","-2.2879529214"
"360","-2.3212442899","-2.3212442899","-2.3212442899"
"361","-2.3069499469","-2.3069499469","-2.3069499469"
"362","-2.2919687325","-2.2919687325","-2.2919687325"
"363","-2.2856322551","-2.2856322551","-2.2856322551"
"364","-2.3071492696","-2.3071492696","-2.3071492696"
"365","-2.3059853685","-2.3059853685","-2.3059853685"
"366","-2.2985925961","-2.2985925961","-2.2985925961"
"367","-2.3262708354","-2.3262708354","-2.3262708354"
"368","-2.3228055596","-2.3228055596","-2.3228055596"
"369","-2.2757046783","-2.2757046783","-2.2757046783"
"370","-2.2902145863","-2.2902145863","-2.2902145863"
"371","-2.2955861747","-2.2955861747","-2.2955861747"
"372","-2.2991367626","-2.2991367626","-2.2991367626"
"373","-2.3181949461","-2.3181949461","-2.3181949461"
"374","-2.3217667365","-2.3217667365","-2.3217667365"
"375","-2.2954650617","-2.2954650617","-2.2954650617"
"376","-2.2956497908","-2.2956497908","-2.2956497908"
"377","-2.2967237449","-2.2967237449","-2.2967237449"
"378","-2.2961168396","-2.2961168396","-2.2961168396"
"379","-2.2979021966","-2.2979021966","-2.2979021966"
"380","-2.287557205","-2.287557205","-2.287557205"
"381","-2.2970828867","-2.2970828867","-2.2970828867"
"382","-2.2784447515","-2.2784447515","-2.2784447515"
"383","-2.2942209315","-2.2942209315","-2.2942209315"
"384","-2.307070148","-2.307070148","-2.307070148"
"385","-2.2999545473","-2.2999545473","-2.2999545473"
"386","-2.3308946228","-2.3308946228","-2.3308946228"
"387","-2.3175124896","-2.3175124896","-2.3175124896"
"388","-2.2995135045","-2.2995135045","-2.2995135045"
"389","-2.3257798219","-2.3257798219","-2.3257798219"
"390","-2.3158900654","-2.3158900654","-2.3158900654"
"391","-2.2919356966","-2.2919356966","-2.2919356966"
"392","-2.3038552964","-2.3038552964","-2.3038552964"
"393","-2.2886985922","-2.2886985922","-2.2886985922"
"394","-2.2926039624","-2.2926039624","-2.2926039624"
"395","-2.2908465207","-2.2908465207","-2.2908465207"
"396","-2.2952165115","-2.2952165115","-2.2952165115"
"397","-2.3061092877","-2.3061092877","-2.3061092877"
"398","-2.2615157151","-2.2615157151","-2.2615157151"
"399","-2.2786312413","-2.2786312413","-2.2786312413"
"400","-2.263579033","-2.263579033","-2.263579033"
"401","-2.2577452523","-2.2577452523","-2.2577452523"
"402","-2.2392251247","-2.2392251247","-2.2392251247"
"403","-2.2383235049","-2.2383235049","-2.2383235049"
"404","-2.2278357822","-2.2278357822","-2.2278357822"
"405","-2.2272137141","-2.2272137141","-2.2272137141"
"406","-2.2225175345","-2.2225175345","-2.2225175345"
"407","-2.2073336107","-2.2073336107","-2.2073336107"
"408","-2.2182777673","-2.2182777673","-2.2182777673"
"409","-2.2189444017","-2.2189444017","-2.2189444017"
"410","-2.2093203616","-2.2093203616","-2.2093203616"
"411","-2.1948118997","-2.1948118997","-2.1948118997"
"412","-2.232045359","-2.232045359","-2.232045359"
"413","-2.223829301","-2.223829301","-2.223829301"
"414","-2.1886373878","-2.1886373878","-2.1886373878"
"415","-2.1898417556","-2.1898417556","-2.1898417556"
"416","-2.2172758871","-2.2172758871","-2.2172758871"
"417","-2.1889502364","-2.1889502364","-2.1889502364"
"418","-2.1773761153","-2.1773761153","-2.1773761153"
"419","-2.1921622872","-2.1921622872","-2.1921622872"
"420","-2.170528599","-2.170528599","-2.170528599"
"421","-2.2069117832","-2.2069117832","-2.2069117832"
"422","-2.1819335955","-2.1819335955","-2.1819335955"
"423","-2.170157578","-2.170157578","-2.170157578"
"424","-2.1965297353","-2.1965297353","-2.1965297353"
"425","-2.1794026309","-2.1794026309","-2.1794026309"
"426","-2.1744639248","-2.1744639248","-2.1744639248"
"427","-2.1667424351","-2.1667424351","-2.1667424351"
"428","-2.1699193323","-2.1699193323","-2.1699193323"
"429","-2.2122277129","-2.2122277129","-2.2122277129"
"430","-2.1919679981","-2.1919679981","-2.1919679981"
"431","-2.1916458237","-2.1916458237","-2.1916458237"
"432","-2.1718348801","-2.1718348801","-2.1718348801"
"433","-2.2022104675","-2.2022104675","-2.2022104675"
"434","-2.1946437889","-2.1946437889","-2.1946437889"
"435","-2.1781367183","-2.1781367183","-2.1781367183"
"436","-2.1774090558","-2.1774090558","-2.1774090558"
"437","-2.198597343","-2.198597343","-2.198597343"
"438","-2.1880670267","-2.1880670267","-2.1880670267"
"439","-2.1959001356","-2.1959001356","-2.1959001356"
"440","-2.2074792767","-2.2074792767","-2.2074792767"
"441","-2.1879937261","-2.1879937261","-2.1879937261"
"442","-2.2054070318","-2.2054070318","-2.2054070318"
"443","-2.217677536","-2.217677536","-2.217677536"
"444","-2.194649452","-2.194649452","-2.194649452"
"445","-2.1872826469","-2.1872826469","-2.1872826469"
"446","-2.2065915841","-2.2065915841","-2.2065915841"
"447","-2.223889097","-2.223889097","-2.223889097"
"448","-2.2238811457","-2.2238811457","-2.2238811457"
"449","-2.2326599926","-2.2326599926","-2.2326599926"
"450","-2.2179950911","-2.2179950911","-2.2179950911"
"451","-2.201082471","-2.201082471","-2.201082471"
"452","-2.2207866174","-2.2207866174","-2.2207866174"
"453","-2.2676439524","-2.2676439524","-2.2676439524"
"454","-2.278411262","-2.278411262","-2.278411262"
"455","-2.2664309937","-2.2664309937","-2.2664309937"
"456","-2.2386322421","-2.2386322421","-2.2386322421"
"457","-2.2474921626","-2.2474921626","-2.2474921626"
"458","-2.2665585798","-2.2665585798","-2.2665585798"
"459","-2.2471883494","-2.2471883494","-2.2471883494"
"460","-2.2779232925","-2.2779232925","-2.2779232925"
"461","-2.2241356587","-2.2241356587","-2.2241356587"
"462","-2.2573900747","-2.2573900747","-2.2573900747"
"463","-2.2225508702","-2.2225508702","-2.2225508702"
"464","-2.2667572868","-2.2667572868","-2.2667572868"
"465","-2.2545540404","-2.2545540404","-2.2545540404"
"466","-2.2484679449","-2.2484679449","-2.2484679449"
"467","-2.283342455","-2.283342455","-2.283342455"
"468","-2.2819770306","-2.2819770306","-2.2819770306"
"469","-2.2836378151","-2.2836378151","-2.2836378151"
