"Step","SAC_short_test_track - return_train","SAC_short_test_track - return_train__MIN","SAC_short_test_track - return_train__MAX"
"383","31.34999975","31.34999975","31.34999975"
"384","41.0599996746","41.0599996746","41.0599996746"
"385","41.0599996746","41.0599996746","41.0599996746"
"386","38.1099996343","38.1099996343","38.1099996343"
"387","44.5999997966","44.5999997966","44.5999997966"
"388","10.6899999548","10.6899999548","10.6899999548"
"389","10.6899999548","10.6899999548","10.6899999548"
"390","27.8399996497","27.8399996497","27.8399996497"
"391","148.2800028864","148.2800028864","148.2800028864"
"392","148.28999977","148.28999977","148.28999977"
"393","148.28999977","148.28999977","148.28999977"
"394","148.2899996582","148.2899996582","148.2899996582"
"395","44.7599996831","44.7599996831","44.7599996831"
"396","44.7599996831","44.7599996831","44.7599996831"
"397","10.2399998773","10.2399998773","10.2399998773"
"398","35.1099996716","35.1099996716","35.1099996716"
"399","35.1099996716","35.1099996716","35.1099996716"
"400","45.049999658","45.049999658","45.049999658"
"401","40.5899996553","40.5899996553","40.5899996553"
"402","46.0899998043","46.0899998043","46.0899998043"
"403","46.0899998043","46.0899998043","46.0899998043"
"404","39.0699996594","39.0699996594","39.0699996594"
"405","148.2700019684","148.2700019684","148.2700019684"
"406","21.989999786","21.989999786","21.989999786"
"407","18.4999997895","18.4999997895","18.4999997895"
"408","40.1799998917","40.1799998917","40.1799998917"
"409","47.3999998737","47.3999998737","47.3999998737"
"410","40.2299995963","40.2299995963","40.2299995963"
"411","40.2299995963","40.2299995963","40.2299995963"
"412","43.3799996078","43.3799996078","43.3799996078"
"413","148.2899997216","148.2899997216","148.2899997216"
"414","148.2899997216","148.2899997216","148.2899997216"
"415","148.2900018673","148.2900018673","148.2900018673"
"416","46.3599997517","46.3599997517","46.3599997517"
"417","46.3599997517","46.3599997517","46.3599997517"
"418","16.0899998024","16.0899998024","16.0899998024"
"419","24.8299999684","24.8299999684","24.8299999684"
"420","30.0599997249","30.0599997249","30.0599997249"
"421","30.0599997249","30.0599997249","30.0599997249"
"422","44.6099997852","44.6099997852","44.6099997852"
"423","45.8099997547","45.8099997547","45.8099997547"
"424","148.2899998259","148.2899998259","148.2899998259"
"425","12.4499998335","12.4499998335","12.4499998335"
"426","42.5099996999","42.5099996999","42.5099996999"
"427","42.5099996999","42.5099996999","42.5099996999"
"428","36.0699996836","36.0699996836","36.0699996836"
