"Step","DDPG_short_test_track_pixel - return_train","DDPG_short_test_track_pixel - return_train__MIN","DDPG_short_test_track_pixel - return_train__MAX"
"387","1.3199999705","1.3199999705","1.3199999705"
"388","5.3399999253","5.3399999253","5.3399999253"
"389","0","0","0"
"390","0.0199999996","0.0199999996","0.0199999996"
"391","1.7899999805","1.7899999805","1.7899999805"
"392","0.7199999839","0.7199999839","0.7199999839"
"393","0","0","0"
"394","1.8099999595","1.8099999595","1.8099999595"
"395","0.4599999897","0.4599999897","0.4599999897"
"396","0.0599999987","0.0599999987","0.0599999987"
"397","1.3799999692","1.3799999692","1.3799999692"
"398","0","0","0"
"399","2.1999999788","2.1999999788","2.1999999788"
"400","1.2699999735","1.2699999735","1.2699999735"
"401","0.0199999996","0.0199999996","0.0199999996"
"402","3.1099999454","3.1099999454","3.1099999454"
"403","0.0099999998","0.0099999998","0.0099999998"
"404","0.0199999996","0.0199999996","0.0199999996"
"405","0.2399999946","0.2399999946","0.2399999946"
"406","0","0","0"
"407","0.0299999993","0.0299999993","0.0299999993"
"408","1.2499999776","1.2499999776","1.2499999776"
"409","1.429999968","1.429999968","1.429999968"
"410","0.1299999971","0.1299999971","0.1299999971"
"411","0.2299999949","0.2299999949","0.2299999949"
"412","0.5699999873","0.5699999873","0.5699999873"
"413","0","0","0"
"414","0.0499999989","0.0499999989","0.0499999989"
"415","0.0099999998","0.0099999998","0.0099999998"
"416","0.0999999978","0.0999999978","0.0999999978"
"417","0.1399999969","0.1399999969","0.1399999969"
"418","6.5499999411","6.5499999411","6.5499999411"
"419","0","0","0"
"420","2.1999999676","2.1999999676","2.1999999676"
"421","4.8699999563","4.8699999563","4.8699999563"
"422","1.7399999611","1.7399999611","1.7399999611"
"423","0.0499999989","0.0499999989","0.0499999989"
"424","0.8699999806","0.8699999806","0.8699999806"
"425","1.2599999793","1.2599999793","1.2599999793"
"426","1.5799999665","1.5799999665","1.5799999665"
"427","0","0","0"
"428","7.1299999021","7.1299999021","7.1299999021"
"429","1.0099999774","1.0099999774","1.0099999774"
"430","0.359999992","0.359999992","0.359999992"
"431","3.3099999595","3.3099999595","3.3099999595"
"432","0","0","0"
"433","0","0","0"
"434","1.4399999715","1.4399999715","1.4399999715"
"435","0","0","0"
"436","0.0499999989","0.0499999989","0.0499999989"
"437","0.179999996","0.179999996","0.179999996"
"438","0","0","0"
"439","0","0","0"
"440","0","0","0"
"441","2.1499999519","2.1499999519","2.1499999519"
"442","0","0","0"
"443","1.6899999622","1.6899999622","1.6899999622"
"444","0.0299999993","0.0299999993","0.0299999993"
"445","0","0","0"
"446","0","0","0"
"447","0.849999981","0.849999981","0.849999981"
"448","1.119999975","1.119999975","1.119999975"
"449","0","0","0"
"450","1.2899999712","1.2899999712","1.2899999712"
"451","1.2199999727","1.2199999727","1.2199999727"
"452","0","0","0"
"453","0","0","0"
"454","0.0199999996","0.0199999996","0.0199999996"
"455","0","0","0"
"456","0","0","0"
"457","0","0","0"
