"Step","SAC_Double_critic_lidar - loss_critic","SAC_Double_critic_lidar - loss_critic__MIN","SAC_Double_critic_lidar - loss_critic__MAX"
"451","0.0212179304","0.0212179304","0.0212179304"
"452","0.022293876","0.022293876","0.022293876"
"453","0.0216902848","0.0216902848","0.0216902848"
"454","0.0213503261","0.0213503261","0.0213503261"
"455","0.0215484144","0.0215484144","0.0215484144"
"456","0.0210851467","0.0210851467","0.0210851467"
"457","0.0205031958","0.0205031958","0.0205031958"
"458","0.023252996","0.023252996","0.023252996"
"459","0.0232593823","0.0232593823","0.0232593823"
"460","0.0210902031","0.0210902031","0.0210902031"
"461","0.0222733311","0.0222733311","0.0222733311"
"462","0.0198959124","0.0198959124","0.0198959124"
"463","0.0193311886","0.0193311886","0.0193311886"
"464","0.0205215249","0.0205215249","0.0205215249"
"465","0.0203307693","0.0203307693","0.0203307693"
"466","0.0201609445","0.0201609445","0.0201609445"
"467","0.0196994167","0.0196994167","0.0196994167"
"468","0.0214998928","0.0214998928","0.0214998928"
"469","0.020431425","0.020431425","0.020431425"
"470","0.0193099631","0.0193099631","0.0193099631"
"471","0.0198708196","0.0198708196","0.0198708196"
"472","0.0178713917","0.0178713917","0.0178713917"
"473","0.0207326984","0.0207326984","0.0207326984"
"474","0.0188029241","0.0188029241","0.0188029241"
"475","0.0206803357","0.0206803357","0.0206803357"
"476","0.0197175768","0.0197175768","0.0197175768"
"477","0.0201215166","0.0201215166","0.0201215166"
"478","0.0191447213","0.0191447213","0.0191447213"
"479","0.0191948775","0.0191948775","0.0191948775"
"480","0.0238032496","0.0238032496","0.0238032496"
"481","0.0200808752","0.0200808752","0.0200808752"
"482","0.0194965507","0.0194965507","0.0194965507"
"483","0.0216414384","0.0216414384","0.0216414384"
"484","0.0206361904","0.0206361904","0.0206361904"
"485","0.0213238861","0.0213238861","0.0213238861"
"486","0.0197305234","0.0197305234","0.0197305234"
"487","0.0199657573","0.0199657573","0.0199657573"
"488","0.0200667241","0.0200667241","0.0200667241"
"489","0.0199765721","0.0199765721","0.0199765721"
"490","0.0200024692","0.0200024692","0.0200024692"
"491","0.0192498816","0.0192498816","0.0192498816"
"492","0.0191392868","0.0191392868","0.0191392868"
"493","0.0213123496","0.0213123496","0.0213123496"
"494","0.0189655913","0.0189655913","0.0189655913"
"495","0.0202419287","0.0202419287","0.0202419287"
"496","0.0186351468","0.0186351468","0.0186351468"
"497","0.0188861738","0.0188861738","0.0188861738"
"498","0.0189406997","0.0189406997","0.0189406997"
"499","0.0190576587","0.0190576587","0.0190576587"
"500","0.0190835395","0.0190835395","0.0190835395"
"501","0.0190869826","0.0190869826","0.0190869826"
"502","0.0199655706","0.0199655706","0.0199655706"
"503","0.0183456554","0.0183456554","0.0183456554"
"504","0.0174245187","0.0174245187","0.0174245187"
"505","0.0188824507","0.0188824507","0.0188824507"
"506","0.016773163","0.016773163","0.016773163"
"507","0.0174610104","0.0174610104","0.0174610104"
"508","0.0182468886","0.0182468886","0.0182468886"
"509","0.0166464469","0.0166464469","0.0166464469"
"510","0.0190419883","0.0190419883","0.0190419883"
"511","0.0197098255","0.0197098255","0.0197098255"
"512","0.0195592613","0.0195592613","0.0195592613"
"513","0.0198547456","0.0198547456","0.0198547456"
"514","0.0186405339","0.0186405339","0.0186405339"
"515","0.0182897084","0.0182897084","0.0182897084"
"516","0.0187646493","0.0187646493","0.0187646493"
"517","0.0170301264","0.0170301264","0.0170301264"
"518","0.0176316741","0.0176316741","0.0176316741"
"519","0.0176804896","0.0176804896","0.0176804896"
"520","0.0160152274","0.0160152274","0.0160152274"
"521","0.0170388032","0.0170388032","0.0170388032"
"522","0.0161352292","0.0161352292","0.0161352292"
"523","0.0166894567","0.0166894567","0.0166894567"
"524","0.0172531264","0.0172531264","0.0172531264"
"525","0.0157511084","0.0157511084","0.0157511084"
"526","0.0166682408","0.0166682408","0.0166682408"
"527","0.0159927874","0.0159927874","0.0159927874"
"528","0.0163317647","0.0163317647","0.0163317647"
"529","0.0186885119","0.0186885119","0.0186885119"
"530","0.017490885","0.017490885","0.017490885"
"531","0.0162258066","0.0162258066","0.0162258066"
"532","0.0167509219","0.0167509219","0.0167509219"
"533","0.0166524515","0.0166524515","0.0166524515"
"534","0.0172427707","0.0172427707","0.0172427707"
"535","0.0162409353","0.0162409353","0.0162409353"
"536","0.0159614032","0.0159614032","0.0159614032"
"537","0.0158127884","0.0158127884","0.0158127884"
"538","0.0170518445","0.0170518445","0.0170518445"
"539","0.0172678381","0.0172678381","0.0172678381"
"540","0.0154497388","0.0154497388","0.0154497388"
"541","0.0155987934","0.0155987934","0.0155987934"
"542","0.01528062","0.01528062","0.01528062"
"543","0.0161787657","0.0161787657","0.0161787657"
"544","0.0177246571","0.0177246571","0.0177246571"
"545","0.0164253597","0.0164253597","0.0164253597"
"546","0.0163923261","0.0163923261","0.0163923261"
"547","0.0184041175","0.0184041175","0.0184041175"
"548","0.0174245975","0.0174245975","0.0174245975"
"549","0.0166349379","0.0166349379","0.0166349379"
"550","0.0160988864","0.0160988864","0.0160988864"
"551","0.015198782","0.015198782","0.015198782"
