"Step","DDPG_short_test_track_LIDAR - loss_critic","DDPG_short_test_track_LIDAR - loss_critic__MIN","DDPG_short_test_track_LIDAR - loss_critic__MAX"
"285","0.144610168","0.144610168","0.144610168"
"286","0.1529030606","0.1529030606","0.1529030606"
"287","0.1364533541","0.1364533541","0.1364533541"
"288","0.1376080373","0.1376080373","0.1376080373"
"289","0.1358218219","0.1358218219","0.1358218219"
"290","0.1270728019","0.1270728019","0.1270728019"
"291","0.1352053437","0.1352053437","0.1352053437"
"292","0.1273235509","0.1273235509","0.1273235509"
"293","0.1507555949","0.1507555949","0.1507555949"
"294","0.141308613","0.141308613","0.141308613"
"295","0.1410966873","0.1410966873","0.1410966873"
"296","0.1334428606","0.1334428606","0.1334428606"
"297","0.12707565","0.12707565","0.12707565"
"298","0.1315364735","0.1315364735","0.1315364735"
"299","0.1230011334","0.1230011334","0.1230011334"
"300","0.1573162622","0.1573162622","0.1573162622"
"301","0.1437703889","0.1437703889","0.1437703889"
"302","0.1382306372","0.1382306372","0.1382306372"
"303","0.1479181973","0.1479181973","0.1479181973"
"304","0.1426249977","0.1426249977","0.1426249977"
"305","0.1394128077","0.1394128077","0.1394128077"
"306","0.1398802049","0.1398802049","0.1398802049"
"307","0.1358031384","0.1358031384","0.1358031384"
"308","0.1346169782","0.1346169782","0.1346169782"
"309","0.1392944709","0.1392944709","0.1392944709"
"310","0.1349000707","0.1349000707","0.1349000707"
"311","0.1434946674","0.1434946674","0.1434946674"
"312","0.1324511467","0.1324511467","0.1324511467"
"313","0.1417778774","0.1417778774","0.1417778774"
"314","0.1381516692","0.1381516692","0.1381516692"
"315","0.1423316474","0.1423316474","0.1423316474"
"316","0.1533766725","0.1533766725","0.1533766725"
"317","0.1362348448","0.1362348448","0.1362348448"
"318","0.1446463375","0.1446463375","0.1446463375"
"319","0.1487367522","0.1487367522","0.1487367522"
"320","0.1493728653","0.1493728653","0.1493728653"
"321","0.1486931306","0.1486931306","0.1486931306"
"322","0.1469332838","0.1469332838","0.1469332838"
"323","0.1423814674","0.1423814674","0.1423814674"
"324","0.1360795056","0.1360795056","0.1360795056"
"325","0.1433004401","0.1433004401","0.1433004401"
"326","0.1459421769","0.1459421769","0.1459421769"
"327","0.1419660628","0.1419660628","0.1419660628"
"328","0.1714804734","0.1714804734","0.1714804734"
"329","0.1551423098","0.1551423098","0.1551423098"
"330","0.1576549432","0.1576549432","0.1576549432"
"331","0.1610757233","0.1610757233","0.1610757233"
"332","0.1544441159","0.1544441159","0.1544441159"
"333","0.1786322253","0.1786322253","0.1786322253"
"334","0.1799789679","0.1799789679","0.1799789679"
"335","0.1623345416","0.1623345416","0.1623345416"
"336","0.1736185923","0.1736185923","0.1736185923"
"337","0.1644155732","0.1644155732","0.1644155732"
"338","0.168802667","0.168802667","0.168802667"
"339","0.1609395137","0.1609395137","0.1609395137"
"340","0.1604216721","0.1604216721","0.1604216721"
"341","0.1542349545","0.1542349545","0.1542349545"
"342","0.1758554607","0.1758554607","0.1758554607"
"343","0.1738626247","0.1738626247","0.1738626247"
"344","0.163043166","0.163043166","0.163043166"
"345","0.165176242","0.165176242","0.165176242"
"346","0.1564800156","0.1564800156","0.1564800156"
"347","0.1459852165","0.1459852165","0.1459852165"
"348","0.1601159486","0.1601159486","0.1601159486"
"349","0.1531609271","0.1531609271","0.1531609271"
"350","0.1613642739","0.1613642739","0.1613642739"
"351","0.174394036","0.174394036","0.174394036"
"352","0.1736560498","0.1736560498","0.1736560498"
"353","0.1691988967","0.1691988967","0.1691988967"
