"Step","DDPG_short_test_track_LIDAR - loss_actor","DDPG_short_test_track_LIDAR - loss_actor__MIN","DDPG_short_test_track_LIDAR - loss_actor__MAX"
"283","-4.3703100002","-4.3703100002","-4.3703100002"
"284","-4.3889752102","-4.3889752102","-4.3889752102"
"285","-4.4066597939","-4.4066597939","-4.4066597939"
"286","-4.4203240621","-4.4203240621","-4.4203240621"
"287","-4.396850872","-4.396850872","-4.396850872"
"288","-4.4207005155","-4.4207005155","-4.4207005155"
"289","-4.4303648925","-4.4303648925","-4.4303648925"
"290","-4.4429662371","-4.4429662371","-4.4429662371"
"291","-4.4715398812","-4.4715398812","-4.4715398812"
"292","-4.4800160575","-4.4800160575","-4.4800160575"
"293","-4.5456706047","-4.5456706047","-4.5456706047"
"294","-4.5328993094","-4.5328993094","-4.5328993094"
"295","-4.5581334448","-4.5581334448","-4.5581334448"
"296","-4.5550310266","-4.5550310266","-4.5550310266"
"297","-4.5552183056","-4.5552183056","-4.5552183056"
"298","-4.6315870571","-4.6315870571","-4.6315870571"
"299","-4.6122011471","-4.6122011471","-4.6122011471"
"300","-4.6568073034","-4.6568073034","-4.6568073034"
"301","-4.6543981552","-4.6543981552","-4.6543981552"
"302","-4.6788167024","-4.6788167024","-4.6788167024"
"303","-4.6955543661","-4.6955543661","-4.6955543661"
"304","-4.7235735869","-4.7235735869","-4.7235735869"
"305","-4.7321098423","-4.7321098423","-4.7321098423"
"306","-4.7458631825","-4.7458631825","-4.7458631825"
"307","-4.7461790228","-4.7461790228","-4.7461790228"
"308","-4.7650362968","-4.7650362968","-4.7650362968"
"309","-4.7598079252","-4.7598079252","-4.7598079252"
"310","-4.8541822743","-4.8541822743","-4.8541822743"
"311","-4.8600721431","-4.8600721431","-4.8600721431"
"312","-4.8850404811","-4.8850404811","-4.8850404811"
"313","-4.8979572845","-4.8979572845","-4.8979572845"
"314","-4.9193404675","-4.9193404675","-4.9193404675"
"315","-4.9304416251","-4.9304416251","-4.9304416251"
"316","-4.9343756461","-4.9343756461","-4.9343756461"
"317","-4.9423552132","-4.9423552132","-4.9423552132"
"318","-4.9763645077","-4.9763645077","-4.9763645077"
"319","-5.0048795676","-5.0048795676","-5.0048795676"
"320","-5.0429382682","-5.0429382682","-5.0429382682"
"321","-5.064433043","-5.064433043","-5.064433043"
"322","-5.0411137891","-5.0411137891","-5.0411137891"
"323","-5.0935821867","-5.0935821867","-5.0935821867"
"324","-5.1048411846","-5.1048411846","-5.1048411846"
"325","-5.1026345992","-5.1026345992","-5.1026345992"
"326","-5.1397183514","-5.1397183514","-5.1397183514"
"327","-5.1438833976","-5.1438833976","-5.1438833976"
"328","-5.2115077138","-5.2115077138","-5.2115077138"
"329","-5.2379648995","-5.2379648995","-5.2379648995"
"330","-5.2538891935","-5.2538891935","-5.2538891935"
"331","-5.278840735","-5.278840735","-5.278840735"
"332","-5.2835639119","-5.2835639119","-5.2835639119"
"333","-5.2884038544","-5.2884038544","-5.2884038544"
"334","-5.2971411991","-5.2971411991","-5.2971411991"
"335","-5.3085137939","-5.3085137939","-5.3085137939"
"336","-5.3158007503","-5.3158007503","-5.3158007503"
"337","-5.3442261171","-5.3442261171","-5.3442261171"
"338","-5.3768052483","-5.3768052483","-5.3768052483"
"339","-5.3613553858","-5.3613553858","-5.3613553858"
"340","-5.3714548373","-5.3714548373","-5.3714548373"
"341","-5.3899443698","-5.3899443698","-5.3899443698"
"342","-5.4561285424","-5.4561285424","-5.4561285424"
"343","-5.4654960823","-5.4654960823","-5.4654960823"
"344","-5.4875495958","-5.4875495958","-5.4875495958"
"345","-5.4874152637","-5.4874152637","-5.4874152637"
"346","-5.5062213397","-5.5062213397","-5.5062213397"
"347","-5.5132928586","-5.5132928586","-5.5132928586"
"348","-5.5405536509","-5.5405536509","-5.5405536509"
"349","-5.5514874291","-5.5514874291","-5.5514874291"
"350","-5.550028398","-5.550028398","-5.550028398"
"351","-5.6287513471","-5.6287513471","-5.6287513471"
"352","-5.6410064363","-5.6410064363","-5.6410064363"
"353","-5.649667778","-5.649667778","-5.649667778"
"354","-5.6775566006","-5.6775566006","-5.6775566006"
"355","-5.6795158029","-5.6795158029","-5.6795158029"
"356","-5.6888702917","-5.6888702917","-5.6888702917"
"357","-5.7401767802","-5.7401767802","-5.7401767802"
"358","-5.7488926244","-5.7488926244","-5.7488926244"
"359","-5.7652349329","-5.7652349329","-5.7652349329"
"360","-5.7727093148","-5.7727093148","-5.7727093148"
"361","-5.7714863968","-5.7714863968","-5.7714863968"
"362","-5.8137152672","-5.8137152672","-5.8137152672"
"363","-5.8298427796","-5.8298427796","-5.8298427796"
"364","-5.8243096375","-5.8243096375","-5.8243096375"
"365","-5.8548074722","-5.8548074722","-5.8548074722"
"366","-5.8681209159","-5.8681209159","-5.8681209159"
"367","-5.8783684826","-5.8783684826","-5.8783684826"
"368","-5.8788933849","-5.8788933849","-5.8788933849"
