"Step","DDPG_short_test_track_LIDAR - return_train","DDPG_short_test_track_LIDAR - return_train__MIN","DDPG_short_test_track_LIDAR - return_train__MAX"
"347","21.4399999678","21.4399999678","21.4399999678"
"348","21.4399999678","21.4399999678","21.4399999678"
"349","21.4399999678","21.4399999678","21.4399999678"
"350","21.4399999678","21.4399999678","21.4399999678"
"351","31.4199998342","31.4199998342","31.4199998342"
"352","31.4199998342","31.4199998342","31.4199998342"
"353","31.4199998342","31.4199998342","31.4199998342"
"354","31.4199998342","31.4199998342","31.4199998342"
"355","31.4199998342","31.4199998342","31.4199998342"
"356","31.4199998342","31.4199998342","31.4199998342"
"357","20.6299999636","20.6299999636","20.6299999636"
"358","20.6299999636","20.6299999636","20.6299999636"
"359","2.6299999803","2.6299999803","2.6299999803"
"360","2.6299999803","2.6299999803","2.6299999803"
"361","2.6299999803","2.6299999803","2.6299999803"
"362","5.3499999736","5.3499999736","5.3499999736"
"363","5.3499999736","5.3499999736","5.3499999736"
"364","1.5499999691","1.5499999691","1.5499999691"
"365","1.5499999691","1.5499999691","1.5499999691"
"366","1.5499999691","1.5499999691","1.5499999691"
"367","1.5499999691","1.5499999691","1.5499999691"
"368","1.5499999691","1.5499999691","1.5499999691"
"369","1.5499999691","1.5499999691","1.5499999691"
"370","1.5499999691","1.5499999691","1.5499999691"
"371","1.5499999691","1.5499999691","1.5499999691"
"372","30.3500000089","30.3500000089","30.3500000089"
"373","30.3500000089","30.3500000089","30.3500000089"
"374","30.3500000089","30.3500000089","30.3500000089"
"375","6.7099999748","6.7099999748","6.7099999748"
"376","6.7099999748","6.7099999748","6.7099999748"
"377","2.2299999818","2.2299999818","2.2299999818"
"378","2.2299999818","2.2299999818","2.2299999818"
"379","2.2299999818","2.2299999818","2.2299999818"
"380","2.2299999818","2.2299999818","2.2299999818"
"381","6.469999982","6.469999982","6.469999982"
"382","6.469999982","6.469999982","6.469999982"
"383","5.2000000086","5.2000000086","5.2000000086"
"384","5.2000000086","5.2000000086","5.2000000086"
"385","5.2000000086","5.2000000086","5.2000000086"
"386","5.2000000086","5.2000000086","5.2000000086"
"387","5.2000000086","5.2000000086","5.2000000086"
"388","5.2000000086","5.2000000086","5.2000000086"
"389","16.4299998935","16.4299998935","16.4299998935"
"390","16.4299998935","16.4299998935","16.4299998935"
"391","16.4299998935","16.4299998935","16.4299998935"
"392","16.4299998935","16.4299998935","16.4299998935"
"393","16.4299998935","16.4299998935","16.4299998935"
"394","16.4299998935","16.4299998935","16.4299998935"
"395","16.4299998935","16.4299998935","16.4299998935"
"396","16.4299998935","16.4299998935","16.4299998935"
"397","17.7699998412","17.7699998412","17.7699998412"
"398","17.7699998412","17.7699998412","17.7699998412"
"399","17.7699998412","17.7699998412","17.7699998412"
"400","17.7699998412","17.7699998412","17.7699998412"
"401","17.7699998412","17.7699998412","17.7699998412"
"402","17.7699998412","17.7699998412","17.7699998412"
"403","17.7699998412","17.7699998412","17.7699998412"
"404","17.7699998412","17.7699998412","17.7699998412"
"405","29.2099999152","29.2099999152","29.2099999152"
"406","29.2099999152","29.2099999152","29.2099999152"
"407","29.2099999152","29.2099999152","29.2099999152"
"408","29.2099999152","29.2099999152","29.2099999152"
"409","29.2099999152","29.2099999152","29.2099999152"
"410","29.2099999152","29.2099999152","29.2099999152"
"411","29.2099999152","29.2099999152","29.2099999152"
"412","29.2099999152","29.2099999152","29.2099999152"
"413","29.2099999152","29.2099999152","29.2099999152"
"414","22.3599999212","22.3599999212","22.3599999212"
"415","22.3599999212","22.3599999212","22.3599999212"
"416","2.7699999865","2.7699999865","2.7699999865"
"417","2.7699999865","2.7699999865","2.7699999865"
"418","3.3299999665","3.3299999665","3.3299999665"
"419","3.3299999665","3.3299999665","3.3299999665"
"420","3.3299999665","3.3299999665","3.3299999665"
"421","3.3299999665","3.3299999665","3.3299999665"
"422","3.3299999665","3.3299999665","3.3299999665"
"423","3.3299999665","3.3299999665","3.3299999665"
"424","3.3299999665","3.3299999665","3.3299999665"
"425","3.3299999665","3.3299999665","3.3299999665"
"426","23.7499999478","23.7499999478","23.7499999478"
"427","23.7499999478","23.7499999478","23.7499999478"
"428","4.189999992","4.189999992","4.189999992"
"429","4.189999992","4.189999992","4.189999992"
"430","2.139999982","2.139999982","2.139999982"
"431","2.139999982","2.139999982","2.139999982"
"432","2.139999982","2.139999982","2.139999982"
"433","2.139999982","2.139999982","2.139999982"
"434","5.2399999369","5.2399999369","5.2399999369"
"435","5.2399999369","5.2399999369","5.2399999369"
"436","5.2399999369","5.2399999369","5.2399999369"
"437","3.1599999703","3.1599999703","3.1599999703"
"438","3.1599999703","3.1599999703","3.1599999703"
"439","3.1599999703","3.1599999703","3.1599999703"
"440","5.0299999882","5.0299999882","5.0299999882"
"441","5.0299999882","5.0299999882","5.0299999882"
"442","2.3999999985","2.3999999985","2.3999999985"
"443","2.3999999985","2.3999999985","2.3999999985"
"444","2.3999999985","2.3999999985","2.3999999985"
"445","3.6399999708","3.6399999708","3.6399999708"
"446","3.6399999708","3.6399999708","3.6399999708"
"447","3.6399999708","3.6399999708","3.6399999708"
"448","5.3299999833","5.3299999833","5.3299999833"
"449","5.3299999833","5.3299999833","5.3299999833"
"450","5.3299999833","5.3299999833","5.3299999833"
"451","6.0899999514","6.0899999514","6.0899999514"
"452","6.0899999514","6.0899999514","6.0899999514"
"453","6.0899999514","6.0899999514","6.0899999514"
"454","4.8399999645","4.8399999645","4.8399999645"
"455","4.8399999645","4.8399999645","4.8399999645"
"456","4.8399999645","4.8399999645","4.8399999645"
"457","4.8399999645","4.8399999645","4.8399999645"
"458","4.8399999645","4.8399999645","4.8399999645"
"459","4.8399999645","4.8399999645","4.8399999645"
"460","4.8399999645","4.8399999645","4.8399999645"
"461","15.5196498766","15.5196498766","15.5196498766"
"462","17.6299998593","17.6299998593","17.6299998593"
"463","17.6299998593","17.6299998593","17.6299998593"
"464","17.6299998593","17.6299998593","17.6299998593"
"465","3.8399999794","3.8399999794","3.8399999794"
"466","3.8399999794","3.8399999794","3.8399999794"
"467","3.8399999794","3.8399999794","3.8399999794"
"468","3.8399999794","3.8399999794","3.8399999794"
"469","3.8399999794","3.8399999794","3.8399999794"
"470","3.8399999794","3.8399999794","3.8399999794"
"471","17.5199999195","17.5199999195","17.5199999195"
"472","17.5199999195","17.5199999195","17.5199999195"
"473","17.5199999195","17.5199999195","17.5199999195"
"474","17.5199999195","17.5199999195","17.5199999195"
"475","7.3199999537","7.3199999537","7.3199999537"
"476","7.3199999537","7.3199999537","7.3199999537"
"477","3.369999988","3.369999988","3.369999988"
"478","3.369999988","3.369999988","3.369999988"
"479","3.369999988","3.369999988","3.369999988"
"480","3.369999988","3.369999988","3.369999988"
"481","6.5799999405","6.5799999405","6.5799999405"
"482","6.5799999405","6.5799999405","6.5799999405"
"483","6.5799999405","6.5799999405","6.5799999405"
"484","6.5799999405","6.5799999405","6.5799999405"
"485","6.5799999405","6.5799999405","6.5799999405"
"486","6.5799999405","6.5799999405","6.5799999405"
"487","6.5799999405","6.5799999405","6.5799999405"
"488","26.6699999105","26.6699999105","26.6699999105"
"489","26.6699999105","26.6699999105","26.6699999105"
"490","26.6699999105","26.6699999105","26.6699999105"
