,idle_time,round_time,return_train,episode_length_train,_runtime,return_test,training_step_duration,loss_critic,memory_len,loss_actor,sampling_duration,_timestamp,episode_length_test,_step
416,0.0,9.7207906246,6.2099999841,152,8336.772722959518,0,0.0270214593,2.5458207263,120647,-3.0119765359,0.0214547491,1716599230.983777,0,851
417,0.0,9.5787210464,148.2899975013,542,8336.772722959518,0,0.0266519797,2.2570101732,121190,-2.8799195611,0.0211014283,1716599230.983777,0,852
418,0.0,8.896589756,148.2899975013,542,8336.772722959518,0,0.0249646032,2.7559586872,121190,-2.8738962483,0.0194181418,1716599230.983777,0,853
419,0.0,9.0931656361,148.2899975013,542,8336.773671865463,0,0.0255399394,2.1288543504,121190,-2.9693281639,0.0198258555,1716599230.984726,0,854
420,0.0,10.0316824913,2.5699999761,89,8336.773671865463,0,0.0271949017,2.2254803205,121804,-2.9912928909,0.0228532577,1716599230.984726,0,856
421,0.0,11.0901961327,148.3100029789,560,8336.775722503662,0,0.026289537,2.2868037099,122365,-3.1389929283,0.0290721333,1716599230.9867766,0,859
422,0.0,10.1955943108,148.3100029789,560,8336.775722503662,0,0.0242529249,2.6460633275,122365,-2.9916971666,0.026639806,1716599230.9867766,0,860
423,0.0,10.0765814781,0.1499999966,81,8336.777775287628,0,0.0281106889,2.6147348076,123278,-2.9894495276,0.0221870458,1716599230.9888294,0,864
424,0.0,10.5043110847,0.4299999904,81,8336.778282165527,0,0.0290979993,2.7762760001,123723,-2.9989132303,0.0233134162,1716599230.9893363,0,867
425,0.0,10.0979464054,0.3499999922,82,8336.779319763184,0,0.028059783,2.2684403171,123888,-2.910795278,0.0223347497,1716599230.9903738,0,868
426,0.0,9.3940219879,0.3499999922,82,8336.779319763184,0,0.0262023365,3.1395773655,123888,-2.9852222461,0.0206449699,1716599230.9903738,0,869
427,0.0,8.4339234829,0.3999999911,84,8336.781569004059,0,0.0240614772,2.5255888873,124278,-2.8916346765,0.0180154324,1716599230.992623,0,873
428,0.0,8.9517991543,0.0699999984,81,8336.78257894516,0,0.0252428019,2.4870787975,124929,-3.006799193,0.0194310129,1716599230.993633,0,875
