"Step","SAC_single_critic_short_test_track_LIDAR - loss_actor","SAC_single_critic_short_test_track_LIDAR - loss_actor__MIN","SAC_single_critic_short_test_track_LIDAR - loss_actor__MAX"
"404","-15.0684521866","-15.0684521866","-15.0684521866"
"405","-15.1011284828","-15.1011284828","-15.1011284828"
"406","-15.132299614","-15.132299614","-15.132299614"
"407","-15.0465627956","-15.0465627956","-15.0465627956"
"408","-14.9992233324","-14.9992233324","-14.9992233324"
"409","-15.1287813282","-15.1287813282","-15.1287813282"
"410","-15.2638740873","-15.2638740873","-15.2638740873"
"411","-15.0887302113","-15.0887302113","-15.0887302113"
"412","-15.2258701706","-15.2258701706","-15.2258701706"
"413","-15.1787777996","-15.1787777996","-15.1787777996"
"414","-15.1608335686","-15.1608335686","-15.1608335686"
"415","-15.2010263062","-15.2010263062","-15.2010263062"
"416","-15.2240904427","-15.2240904427","-15.2240904427"
"417","-15.3770868063","-15.3770868063","-15.3770868063"
"418","-15.2817538404","-15.2817538404","-15.2817538404"
"419","-15.2965922976","-15.2965922976","-15.2965922976"
"420","-15.3932074785","-15.3932074785","-15.3932074785"
"421","-15.4784199953","-15.4784199953","-15.4784199953"
"422","-15.4545298481","-15.4545298481","-15.4545298481"
"423","-15.5105882168","-15.5105882168","-15.5105882168"
"424","-15.5224238253","-15.5224238253","-15.5224238253"
"425","-15.5761025286","-15.5761025286","-15.5761025286"
"426","-15.4729213715","-15.4729213715","-15.4729213715"
"427","-15.4365503216","-15.4365503216","-15.4365503216"
"428","-15.519364953","-15.519364953","-15.519364953"
"429","-15.6665850973","-15.6665850973","-15.6665850973"
"430","-15.6359765148","-15.6359765148","-15.6359765148"
"431","-15.6575680113","-15.6575680113","-15.6575680113"
"432","-15.7872625637","-15.7872625637","-15.7872625637"
"433","-15.7400494623","-15.7400494623","-15.7400494623"
"434","-15.6964076471","-15.6964076471","-15.6964076471"
"435","-15.748957181","-15.748957181","-15.748957181"
"436","-15.8187862444","-15.8187862444","-15.8187862444"
"437","-15.8528061771","-15.8528061771","-15.8528061771"
"438","-15.8528264427","-15.8528264427","-15.8528264427"
"439","-15.8250512981","-15.8250512981","-15.8250512981"
"440","-15.8507653618","-15.8507653618","-15.8507653618"
"441","-16.071411171","-16.071411171","-16.071411171"
"442","-15.974526968","-15.974526968","-15.974526968"
"443","-16.1433769464","-16.1433769464","-16.1433769464"
"444","-16.1412835503","-16.1412835503","-16.1412835503"
"445","-16.1880003929","-16.1880003929","-16.1880003929"
"446","-16.1332498264","-16.1332498264","-16.1332498264"
"447","-16.2892490244","-16.2892490244","-16.2892490244"
"448","-16.1618880844","-16.1618880844","-16.1618880844"
"449","-16.3656901646","-16.3656901646","-16.3656901646"
"450","-16.2388206005","-16.2388206005","-16.2388206005"
"451","-16.3996357489","-16.3996357489","-16.3996357489"
"452","-16.3690456867","-16.3690456867","-16.3690456867"
"453","-16.4177907419","-16.4177907419","-16.4177907419"
"454","-16.4990832806","-16.4990832806","-16.4990832806"
"455","-16.5312243223","-16.5312243223","-16.5312243223"
"456","-16.4795517302","-16.4795517302","-16.4795517302"
"457","-16.5961382055","-16.5961382055","-16.5961382055"
"458","-16.4676318598","-16.4676318598","-16.4676318598"
"459","-16.5342728186","-16.5342728186","-16.5342728186"
"460","-16.648143754","-16.648143754","-16.648143754"
"461","-16.6884245014","-16.6884245014","-16.6884245014"
"462","-16.5075729799","-16.5075729799","-16.5075729799"
"463","-16.7330837917","-16.7330837917","-16.7330837917"
"464","-16.7617929554","-16.7617929554","-16.7617929554"
"465","-16.7900692797","-16.7900692797","-16.7900692797"
"466","-16.742068758","-16.742068758","-16.742068758"
"467","-16.9428100872","-16.9428100872","-16.9428100872"
"468","-16.9083782434","-16.9083782434","-16.9083782434"
"469","-17.018783288","-17.018783288","-17.018783288"
"470","-16.9998497343","-16.9998497343","-16.9998497343"
"471","-17.0698183584","-17.0698183584","-17.0698183584"
"472","-17.1715792036","-17.1715792036","-17.1715792036"
"473","-17.1179144812","-17.1179144812","-17.1179144812"
"474","-17.1685230446","-17.1685230446","-17.1685230446"
"475","-17.2123806238","-17.2123806238","-17.2123806238"
"476","-17.1692473078","-17.1692473078","-17.1692473078"
"477","-17.1797172451","-17.1797172451","-17.1797172451"
"478","-17.3317246771","-17.3317246771","-17.3317246771"
"479","-17.1544873381","-17.1544873381","-17.1544873381"
"480","-17.2167235184","-17.2167235184","-17.2167235184"
"481","-17.4161311054","-17.4161311054","-17.4161311054"
"482","-17.3475908518","-17.3475908518","-17.3475908518"
"483","-17.4508984756","-17.4508984756","-17.4508984756"
"484","-17.2810283375","-17.2810283375","-17.2810283375"
"485","-17.4781608105","-17.4781608105","-17.4781608105"
"486","-17.4656669569","-17.4656669569","-17.4656669569"
"487","-17.4898545694","-17.4898545694","-17.4898545694"
