"Step","SAC_single_critic_short_test_track_LIDAR - loss_critic","SAC_single_critic_short_test_track_LIDAR - loss_critic__MIN","SAC_single_critic_short_test_track_LIDAR - loss_critic__MAX"
"491","2.0876903383","2.0876903383","2.0876903383"
"492","2.1484975109","2.1484975109","2.1484975109"
"493","2.7502064577","2.7502064577","2.7502064577"
"494","2.4347961265","2.4347961265","2.4347961265"
"495","2.3783803964","2.3783803964","2.3783803964"
"496","2.2052331924","2.2052331924","2.2052331924"
"497","2.5882211819","2.5882211819","2.5882211819"
"498","2.1303264776","2.1303264776","2.1303264776"
"499","2.2679297727","2.2679297727","2.2679297727"
"500","2.7192640463","2.7192640463","2.7192640463"
"501","1.8966272557","1.8966272557","1.8966272557"
"502","2.1804087287","2.1804087287","2.1804087287"
"503","2.4728089562","2.4728089562","2.4728089562"
"504","1.5447980225","1.5447980225","1.5447980225"
"505","2.2618018323","2.2618018323","2.2618018323"
"506","2.7289567873","2.7289567873","2.7289567873"
"507","2.3689355257","2.3689355257","2.3689355257"
"508","2.4536435115","2.4536435115","2.4536435115"
"509","2.590629715","2.590629715","2.590629715"
"510","2.3904274562","2.3904274562","2.3904274562"
"511","2.721031163","2.721031163","2.721031163"
"512","2.1506238317","2.1506238317","2.1506238317"
"513","2.6717941931","2.6717941931","2.6717941931"
"514","2.0666885349","2.0666885349","2.0666885349"
"515","2.066208812","2.066208812","2.066208812"
"516","2.408783682","2.408783682","2.408783682"
"517","2.5216648749","2.5216648749","2.5216648749"
"518","2.2122373387","2.2122373387","2.2122373387"
"519","2.9620293739","2.9620293739","2.9620293739"
"520","1.5184381819","1.5184381819","1.5184381819"
"521","2.5249105102","2.5249105102","2.5249105102"
"522","2.0269326332","2.0269326332","2.0269326332"
"523","1.9850048348","1.9850048348","1.9850048348"
"524","2.6655113959","2.6655113959","2.6655113959"
"525","2.6459521511","2.6459521511","2.6459521511"
"526","2.9160243177","2.9160243177","2.9160243177"
"527","2.4788790518","2.4788790518","2.4788790518"
"528","2.4443121067","2.4443121067","2.4443121067"
"529","2.5911314815","2.5911314815","2.5911314815"
"530","2.141024096","2.141024096","2.141024096"
"531","1.9065419117","1.9065419117","1.9065419117"
"532","1.99337513","1.99337513","1.99337513"
"533","2.5988514432","2.5988514432","2.5988514432"
"534","2.3040768078","2.3040768078","2.3040768078"
"535","2.5020296925","2.5020296925","2.5020296925"
"536","2.0701643372","2.0701643372","2.0701643372"
"537","2.311281396","2.311281396","2.311281396"
"538","2.3473017845","2.3473017845","2.3473017845"
"539","2.1449576226","2.1449576226","2.1449576226"
"540","2.7517086351","2.7517086351","2.7517086351"
"541","2.073418785","2.073418785","2.073418785"
"542","2.3029351375","2.3029351375","2.3029351375"
"543","1.9063976347","1.9063976347","1.9063976347"
"544","2.3987969026","2.3987969026","2.3987969026"
"545","2.1507681948","2.1507681948","2.1507681948"
"546","2.1881488648","2.1881488648","2.1881488648"
"547","2.277191152","2.277191152","2.277191152"
