"Step","PPO_short_test_track_LIDAR - loss_actor","PPO_short_test_track_LIDAR - loss_actor__MIN","PPO_short_test_track_LIDAR - loss_actor__MAX"
"456","-0.0002025117","-0.0002025117","-0.0002025117"
"457","-0.0005961671","-0.0005961671","-0.0005961671"
"458","-0.0000524366","-0.0000524366","-0.0000524366"
"459","0.0003857057","0.0003857057","0.0003857057"
"460","-0.0004091736","-0.0004091736","-0.0004091736"
"461","-0.0005287895","-0.0005287895","-0.0005287895"
"462","-0.0007248555","-0.0007248555","-0.0007248555"
"463","-0.0007888261","-0.0007888261","-0.0007888261"
"464","-0.0006673991","-0.0006673991","-0.0006673991"
"465","0.0001678274","0.0001678274","0.0001678274"
"466","0.0002752976","0.0002752976","0.0002752976"
"467","-0.000762997","-0.000762997","-0.000762997"
"468","-0.0002660258","-0.0002660258","-0.0002660258"
"469","-0.0001005487","-0.0001005487","-0.0001005487"
"470","-0.0002566814","-0.0002566814","-0.0002566814"
"471","0.0000012889","0.0000012889","0.0000012889"
"472","0.0001672989","0.0001672989","0.0001672989"
"473","-0.0010871537","-0.0010871537","-0.0010871537"
"474","-0.0000412074","-0.0000412074","-0.0000412074"
"475","0.0001854684","0.0001854684","0.0001854684"
"476","-0.0001973314","-0.0001973314","-0.0001973314"
"477","0.0000720831","0.0000720831","0.0000720831"
"478","-0.0006861155","-0.0006861155","-0.0006861155"
"479","-0.0000754738","-0.0000754738","-0.0000754738"
"480","-0.0000817621","-0.0000817621","-0.0000817621"
"481","-0.0004706661","-0.0004706661","-0.0004706661"
"482","-0.000097502","-0.000097502","-0.000097502"
"483","0.0003452524","0.0003452524","0.0003452524"
"484","0.0000405926","0.0000405926","0.0000405926"
"485","-0.0009151814","-0.0009151814","-0.0009151814"
"486","-0.000461679","-0.000461679","-0.000461679"
"487","0.0000634876","0.0000634876","0.0000634876"
"488","-0.0009631608","-0.0009631608","-0.0009631608"
"489","0.0001898267","0.0001898267","0.0001898267"
"490","-0.0000923391","-0.0000923391","-0.0000923391"
"491","-0.0001192231","-0.0001192231","-0.0001192231"
"492","-0.0001362312","-0.0001362312","-0.0001362312"
"493","-0.0007507469","-0.0007507469","-0.0007507469"
"494","-0.0002103981","-0.0002103981","-0.0002103981"
"495","-0.0002246984","-0.0002246984","-0.0002246984"
"496","0.0000696436","0.0000696436","0.0000696436"
"497","-0.0009079544","-0.0009079544","-0.0009079544"
"498","0.0000227327","0.0000227327","0.0000227327"
"499","-0.0000930057","-0.0000930057","-0.0000930057"
"500","-0.0004519019","-0.0004519019","-0.0004519019"
"501","0.0000338226","0.0000338226","0.0000338226"
"502","0.000075192","0.000075192","0.000075192"
"503","-0.0003434326","-0.0003434326","-0.0003434326"
"504","-0.0000411599","-0.0000411599","-0.0000411599"
"505","-0.0003436415","-0.0003436415","-0.0003436415"
"506","-0.0001990152","-0.0001990152","-0.0001990152"
"507","-0.0001061732","-0.0001061732","-0.0001061732"
"508","-0.0001352029","-0.0001352029","-0.0001352029"
"509","-0.0001214807","-0.0001214807","-0.0001214807"
"510","-0.0001280323","-0.0001280323","-0.0001280323"
"511","-0.0011123843","-0.0011123843","-0.0011123843"
"512","-0.0000444775","-0.0000444775","-0.0000444775"
